Activity Type,Date,Duration,Distance,Calories,Avg Heart Rate,Max Heart Rate,Notes
跑步,2024-01-01 08:00:00,45,5.2,420,152,180,新年第一次晨跑
骑行,2024-01-02 16:30:00,90,25.5,650,145,175,周末休闲骑行
游泳,2024-01-03 19:00:00,60,1.5,380,135,165,自由泳训练
跑步,2024-01-05 07:30:00,30,4.0,320,148,178,晨间间歇跑
瑜伽,2024-01-06 20:00:00,50,0,250,110,130,放松瑜伽课
骑行,2024-01-07 15:00:00,120,40.0,850,155,182,长距离骑行训练
跑步,2024-01-09 08:15:00,55,6.8,520,158,185,节奏跑训练
徒步,2024-01-10 14:00:00,150,8.5,450,125,150,郊外徒步
游泳,2024-01-11 19:30:00,45,1.2,320,130,160,蛙泳训练
跑步,2024-01-12 07:45:00,35,4.5,380,150,176,恢复性慢跑
骑行,2024-01-14 16:00:00,75,20.0,580,142,172,城市通勤骑行
跑步,2024-01-15 08:30:00,60,7.5,620,162,188,马拉松配速跑
力量训练,2024-01-16 18:00:00,60,0,350,120,145,核心力量训练
跑步,2024-01-18 07:20:00,40,5.0,430,155,183,轻松跑
游泳,2024-01-19 19:15:00,55,1.8,420,140,170,混合泳练习
骑行,2024-01-20 15:30:00,100,35.0,780,150,178,山路骑行
跑步,2024-01-22 08:00:00,65,8.2,680,165,190,长距离慢跑
瑜伽,2024-01-23 20:30:00,55,0,280,115,135,伸展瑜伽
徒步,2024-01-24 13:00:00,180,12.0,580,130,155,山地徒步
跑步,2024-01-26 07:40:00,45,5.8,480,158,186,变速跑训练
